,date,amount,positiveAmount,ratio
0,2020-06-03 00:00:00+00:00,13209,96,
1,2020-06-04 00:00:00+00:00,14898,141,
2,2020-06-05 00:00:00+00:00,16473,124,0.00805876414840433
3,2020-06-06 00:00:00+00:00,11537,78,0.009049896997595891
4,2020-06-07 00:00:00+00:00,15097,140,0.009441677128253107
5,2020-06-08 00:00:00+00:00,14644,179,0.010511662134131794
6,2020-06-09 00:00:00+00:00,15057,172,0.011575683142468584
7,2020-06-10 00:00:00+00:00,18482,238,0.012508307264154367
8,2020-06-11 00:00:00+00:00,15810,191,0.014333572735520664
9,2020-06-12 00:00:00+00:00,13131,183,0.015126540449382464
10,2020-06-13 00:00:00+00:00,6979,149,0.0153086310639805
11,2020-06-14 00:00:00+00:00,8838,136,0.016539330913924233
12,2020-06-15 00:00:00+00:00,14433,199,0.01711054544565113
13,2020-06-16 00:00:00+00:00,16233,296,0.016357279641114907
14,2020-06-17 00:00:00+00:00,16019,269,0.01807890744712994
15,2020-06-18 00:00:00+00:00,17289,304,0.02054683307894827
16,2020-06-19 00:00:00+00:00,12752,306,0.02066936671440404
17,2020-06-20 00:00:00+00:00,6009,157,0.022194476252282616
18,2020-06-21 00:00:00+00:00,9073,171,0.023185655416560372
19,2020-06-22 00:00:00+00:00,14006,342,0.02365313518358908
20,2020-06-23 00:00:00+00:00,19832,447,0.02387785138338914
21,2020-06-24 00:00:00+00:00,17696,466,0.025727421445692282
22,2020-06-25 00:00:00+00:00,18458,503,0.028751183277278287
23,2020-06-26 00:00:00+00:00,16551,465,
24,2020-06-27 00:00:00+00:00,9156,362,
